t,it,qt,phit,vt,Rt_Gt
1.61090180360721,1.99839176631052,2.08018945281222,4.64957017911864,-0.412276505657767,6000
1.6234869739479,1.99722433796529,2.10533253931772,4.63762081259603,-0.536278054221112,6000
1.63607214428858,1.9957405803977,2.13045894278986,4.62256175450626,-0.659127852714842,6000
1.64865731462926,1.99394072861184,2.15556468359775,4.60442531075019,-0.780565216889993,6000
1.66124248496994,1.9918250676762,2.18064578538315,4.58325029309299,-0.90033444585804,6000
1.67382765531062,1.98939393267851,2.20569827569025,4.55908188235951,-1.01818571295187,6000
1.6864128256513,1.98664770867267,2.23071818659485,4.53197146951329,-1.13387593013862,6000
1.69899799599198,1.9835868306178,2.25570155533282,4.50197647533447,-1.24716958213311,6000
1.71158316633267,1.98021178330929,2.28064442492775,4.46916014950661,-1.35783952651465,6000
1.72416833667335,1.97652310130207,2.30554284481765,4.4335913500137,-1.4656677563222,6000
1.73675350701403,1.97252136882589,2.33039287148068,4.39534430383485,-1.57044612179323,6000
1.74933867735471,1.96820721969284,2.35519056905973,4.3544983500058,-1.67197700811825,6000
1.76192384769539,1.96358133719695,2.3799320099858,4.31113766619227,-1.77007396630544,6000
1.77450901803607,1.95864445400593,2.40461327560008,4.26535097999041,-1.86456229448658,6000
1.78709418837675,1.95339735204517,2.42923045677457,4.21723126623383,-1.95527956724509,6000
1.79967935871744,1.9478408623739,2.45377965453126,4.16687543164426,-2.04207611080856,6000
1.81226452905812,1.9419758650535,2.47825698065966,4.11438398821377,-2.12481542222024,6000
1.8248496993988,1.9358032890082,2.50265855833262,4.05986071675082,-2.20337453088432,6000
1.83743486973948,1.92932411187788,2.52698052272035,4.00341232205859,-2.27764430116809,6000
1.85002004008016,1.92253935986327,2.55121902160259,3.94514808124422,-2.34752967503804,6000
1.86260521042084,1.91545010756339,2.57537021597871,3.88517948667916,-2.412949854005,6000
1.87519038076152,1.90805747780538,2.59943028067573,3.82361988514534,-2.47383841995425,6000
1.8877755511022,1.90036264146661,2.62339540495423,3.76058411470905,-2.53014339473841,6000
1.90036072144289,1.8923668172893,2.64726179311184,3.69618814086333,-2.5818272387122,6000
1.91294589178357,1.88407127168744,2.67102566508448,3.63054869347158,-2.6288667886874,6000
